date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:06	1268/1268	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:58%20GMT	https://nephos.cssninja.io/assets/js/_data-wishlist.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/_data-wishlist.js	(from https://nephos.cssninja.io/home.html)
13:37:06	577432/577432	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:56%20GMT	https://nephos.cssninja.io/assets/js/app.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/app.js	(from https://nephos.cssninja.io/home.html)
13:37:06	264840/264840	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jul%202020%2022:47:01%20GMT	https://nephos.cssninja.io/assets/img/bg/main-bg.jpg	D:/kuliah/farm-template/nephos.cssninja.io/assets/img/bg/main-bg.jpg	(from https://nephos.cssninja.io/home.html)
13:37:06	1323/1323	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/_data-addresses.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/_data-addresses.js	(from https://nephos.cssninja.io/home.html)
13:37:07	3299/3299	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/_data-orders.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/_data-orders.js	(from https://nephos.cssninja.io/home.html)
13:37:07	20671/20671	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/functions.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/functions.js	(from https://nephos.cssninja.io/home.html)
13:37:07	814/814	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:57%20GMT	https://nephos.cssninja.io/assets/js/nephos.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/nephos.js	(from https://nephos.cssninja.io/home.html)
13:37:08	9083/9083	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:56%20GMT	https://nephos.cssninja.io/assets/js/authentication.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/authentication.js	(from https://nephos.cssninja.io/home.html)
13:37:08	19712/19712	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:56%20GMT	https://nephos.cssninja.io/assets/js/cart.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/cart.js	(from https://nephos.cssninja.io/home.html)
13:37:09	11563/11563	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Jul%202020%2022:46:55%20GMT	https://nephos.cssninja.io/assets/js/account.js	D:/kuliah/farm-template/nephos.cssninja.io/assets/js/account.js	(from https://nephos.cssninja.io/home.html)
